species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis couchii,6.128,EDBjr22787,Leoni Meadows,NA,El Dorado,NA,NA,133.3,67.8,87.7,0.719,47.5,T,T
Thamnophis couchii,6.129,EDBjr22788,Leoni Meadows,NA,El Dorado,NA,NA,219.2,72.3,94.4,0.674,37.5,T,T
Thamnophis couchii,6.13,EDBjr22737,Leoni Meadows,NA,El Dorado,NA,NA,65.9,56.8,73.6,0.704,42,T,T
Thamnophis couchii,6.131,EDBjr22738,Leoni Meadows,NA,El Dorado,NA,NA,2.9,21.6,27.5,1.124,27.3,T,T
Thamnophis couchii,6.132,EDBjr22739,Leoni Meadows,NA,El Dorado,NA,NA,5.7,23.8,31.2,1.123,NA,T,T
Thamnophis couchii,6.133,EDBjr22740,Leoni Meadows,NA,El Dorado,NA,NA,5.6,28.4,37.6,0.926,NA,T,T
Thamnophis couchii,6.182,EDBjr22866,Dogtown Creek,NA,El Dorado,NA,NA,127,69.4,88.7,0.763,39,T,T
Thamnophis couchii,6.183,EDBjr22867,Dogtown Creek,NA,El Dorado,NA,NA,99.8,60.2,79.3,0.7,31.6,T,T
Thamnophis couchii,6.226,EDBjr22944,Beauty Lk.,NA,El Dorado,NA,NA,78.2,60.5,88.6,0.581,6.3,T,T
Thamnophis couchii,6.227,EDBjr22945,Beauty Lk.,NA,El Dorado,NA,NA,16.4,36.7,47.9,0.646,7.46,T,T
Thamnophis couchii,7.013,EDBjr23506,N Fork Feather River,NA,Plumas,NA,NA,79,65.6,79.1,0.474,15.5,T,T
Thamnophis couchii,7.014,NA,Riverch Bar,NA,NA,NA,NA,163.8,78.2,97,0.547,56.7,T,T
Thamnophis couchii,7.034,EDBjr23513,Oligby Creek,NA,El Dorado,NA,NA,23.4,43.2,56.6,0.552,47,T,T
Thamnophis couchii,7.036,EDBjr23515,Oligby Creek,NA,El Dorado,NA,NA,9.4,31.4,40.7,0.773,87.2,T,T
Thamnophis couchii,7.037,EDBjr23516,N Fork Consumnes River,NA,El Dorado,NA,NA,252.7,85.4,110,0.533,10.9,T,T
Thamnophis couchii,7.043,EDBjr23517,Oligby Creek,NA,El Dorado,NA,NA,21.2,41.1,55.1,0.464,43.4,T,T
Thamnophis couchii,7.044,EDBjr23518,Oligby Creek,NA,El Dorado,NA,NA,11.7,34.5,NA,0.597,NA,T,T
Thamnophis couchii,7.045,EDBjr23519,Silver Creek,NA,El Dorado,NA,NA,11.5,34.2,45.3,0.62,17.5,T,T
Thamnophis couchii,7.046,EDBjr23520,Akin Powerhouse,NA,El Dorado,NA,NA,76.3,57,NA,0.632,81.5,T,T
Thamnophis couchii,7.048,EDBjr23525,S Fork American River,NA,El Dorado,NA,NA,12.7,32.1,41.9,0.81,NA,T,T
Thamnophis couchii,7.049,EDBjr23526,N Fork Feather River,NA,Plumas,NA,NA,24.7,40.5,NA,0.811,8.12,T,T
Thamnophis couchii,7.06,NA,N Fork Kings River,NA,NA,NA,NA,7.5,29,38.4,1.032,NA,T,T
Thamnophis couchii,7.061,NA,N Fork Kings River,NA,NA,NA,NA,42.9,52.3,71.2,0.591,26.4,T,T
Thamnophis couchii,7.062,NA,S Fork American River,NA,NA,NA,NA,41.5,53.1,71.5,0.781,82.8,T,T
Thamnophis couchii,9,NA,NA,NA,NA,NA,NA,4.8,20.9,28.5,1.407,149.5,T,T
Thamnophis couchii,SE1,NA,NA,NA,Tulare,NA,NA,3.54,19.2,25.1,1.122,48.8,T,T
Thamnophis couchii,SE10,NA,NA,NA,Tulare,NA,NA,3.12,19.3,25.8,1.006,41.1,T,T
Thamnophis couchii,SE11,NA,NA,NA,Tulare,NA,NA,3.22,19.3,24.9,1.223,86,T,T
Thamnophis couchii,SE12,NA,NA,NA,Tulare,NA,NA,3.17,18.9,24.4,1.151,92.9,T,T
Thamnophis couchii,SE13,NA,NA,NA,Tulare,NA,NA,3.4,19.1,24.7,1.198,85.8,T,T
Thamnophis couchii,SE14,NA,NA,NA,Tulare,NA,NA,3.59,19.5,25.6,1.196,73.7,T,T
Thamnophis couchii,SE15,NA,NA,NA,Tulare,NA,NA,3.4,18.7,24.5,1.111,79.2,T,T
Thamnophis couchii,SE2,NA,NA,NA,Tulare,NA,NA,3.17,19.1,25.6,1.115,53.6,T,T
Thamnophis couchii,SE3,NA,NA,NA,Tulare,NA,NA,2.86,18.5,24.1,1.144,69.9,T,T
Thamnophis couchii,SE4,NA,NA,NA,Tulare,NA,NA,3.27,19,25.2,1.135,50.6,T,T
Thamnophis couchii,SE5,NA,NA,NA,Tulare,NA,NA,3.42,19.7,25.7,1.176,60.7,T,T
Thamnophis couchii,SE6,NA,NA,NA,Tulare,NA,NA,3.12,18.9,24.7,1.118,65,T,T
Thamnophis couchii,SE7,NA,NA,NA,Tulare,NA,NA,3.1,19.7,25.4,1.173,77.1,T,T
Thamnophis couchii,SE8,NA,NA,NA,Tulare,NA,NA,3.58,19.9,25.9,1.049,NA,T,T
Thamnophis couchii,SE9,NA,NA,NA,Tulare,NA,NA,3.24,19.4,25.9,1.126,57.7,T,T
Thamnophis couchii,SS1,NA,NA,NA,Tulare,NA,NA,4.03,20.2,26.5,1.447,NA,T,T
Thamnophis couchii,SS2,NA,NA,NA,Tulare,NA,NA,3.91,20.4,26.4,1.309,NA,T,T
Thamnophis couchii,SS3,NA,NA,NA,Tulare,NA,NA,2.5,17.8,23.4,1.487,85.3,T,T
Thamnophis couchii,SS4,NA,NA,NA,Tulare,NA,NA,3.61,19.2,25.5,1.346,NA,T,T
Thamnophis couchii,SS5,NA,NA,NA,Tulare,NA,NA,3.69,20.3,26.9,1.348,NA,T,T
Thamnophis couchii,SS6,NA,NA,NA,Tulare,NA,NA,3.84,20.7,26.4,1.5,NA,T,T
Thamnophis couchii,SS7,NA,NA,NA,Tulare,NA,NA,2.85,18.7,25,1.432,80.2,T,T
Thamnophis couchii,SS8,NA,NA,NA,Tulare,NA,NA,3.32,20.1,25.8,1.441,NA,T,T
Thamnophis couchii,SS9,NA,NA,NA,Tulare,NA,NA,3.51,20.3,26.2,1.451,NA,T,T
Thamnophis couchii,SZ1,NA,NA,NA,Tulare,NA,NA,3.74,19.3,26.2,1.175,93.7,T,T
Thamnophis couchii,SZ10,NA,NA,NA,Tulare,NA,NA,3.45,19.3,26,1.35,86.4,T,T
Thamnophis couchii,SZ11,NA,NA,NA,Tulare,NA,NA,3.25,19,24.8,1.122,59,T,T
Thamnophis couchii,SZ12,NA,NA,NA,Tulare,NA,NA,3.4,18.7,25.2,1.334,84.7,T,T
Thamnophis couchii,SZ2,NA,NA,NA,Tulare,NA,NA,3.2,17.5,23.2,1.469,84.2,T,T
Thamnophis couchii,SZ3,NA,NA,NA,Tulare,NA,NA,2.98,18.7,24.3,1.396,NA,T,T
Thamnophis couchii,SZ4,NA,NA,NA,Tulare,NA,NA,3.17,18.6,25.3,1.358,64,T,T
Thamnophis couchii,SZ5,NA,NA,NA,Tulare,NA,NA,3.25,18.8,24.8,1.213,NA,T,T
Thamnophis couchii,SZ6,NA,NA,NA,Tulare,NA,NA,3.52,18.9,25.5,1.304,NA,T,T
Thamnophis couchii,SZ7,NA,NA,NA,Tulare,NA,NA,3.49,19.3,26,1.263,75.9,T,T
Thamnophis couchii,SZ8,NA,NA,NA,Tulare,NA,NA,3.63,19.5,26.1,1.199,57.4,T,T
Thamnophis couchii,SZ9,NA,NA,NA,Tulare,NA,NA,3.65,19.2,25.8,1.397,81.8,T,T
Thamnophis couchii,TT1,NA,NA,NA,NA,NA,NA,4.05,20.9,27.2,1.016,NA,T,T
Thamnophis couchii,TT2,NA,NA,NA,NA,NA,NA,5.34,22.3,23.1,0.924,NA,T,T
Thamnophis couchii,TT3,NA,NA,NA,NA,NA,NA,5.1,22.8,30.3,1.006,82.5,T,T
Thamnophis couchii,TT4,NA,NA,NA,NA,NA,NA,4.52,21,27.5,0.995,NA,T,T
Thamnophis couchii,TT5,NA,NA,NA,NA,NA,NA,5.29,22.1,29.4,1.006,NA,T,T
Thamnophis couchii,TT6,NA,NA,NA,NA,NA,NA,4.93,21.4,28.9,1.014,NA,T,T
Thamnophis couchii,TT7,NA,NA,NA,NA,NA,NA,4.21,19.8,26.5,1.021,73.6,T,T
Thamnophis couchii,UC1,NA,NA,NA,Lassen,NA,NA,6.08,22.7,29.5,1.147,4.98,T,T
Thamnophis couchii,UC10,NA,NA,NA,Lassen,NA,NA,7.3,22.2,29.4,1.214,5.12,T,T
Thamnophis couchii,UC2,NA,NA,NA,Lassen,NA,NA,5.11,22.1,29.6,1.115,1.53,T,T
Thamnophis couchii,UC3,NA,NA,NA,Lassen,NA,NA,6.24,21.3,28.9,1.389,3.45,T,T
Thamnophis couchii,UC4,NA,NA,NA,Lassen,NA,NA,6.19,23.4,31.1,1.178,3.92,T,T
Thamnophis couchii,UC5,NA,NA,NA,Lassen,NA,NA,6.99,22.5,29.8,1.401,NA,T,T
Thamnophis couchii,UC6,NA,NA,NA,Lassen,NA,NA,6.92,22.8,29.7,1.408,3.34,T,T
Thamnophis couchii,UC7,NA,NA,NA,Lassen,NA,NA,6.12,22.6,30.5,1.315,NA,T,T
Thamnophis couchii,UC8,NA,NA,NA,Lassen,NA,NA,5.98,21.3,28.3,1.379,4.48,T,T
Thamnophis couchii,UC9,NA,NA,NA,Lassen,NA,NA,6.85,23.5,23.1,1.109,NA,T,T
Thamnophis couchii,UG1,NA,NA,NA,NA,NA,NA,3.91,19.6,26.3,1.17,77.3,T,T
Thamnophis couchii,UG10,NA,NA,NA,NA,NA,NA,3.75,18.6,25.2,1.094,NA,T,T
Thamnophis couchii,UG11,NA,NA,NA,NA,NA,NA,3.66,18.8,24.5,1.156,61.3,T,T
Thamnophis couchii,UG12,NA,NA,NA,NA,NA,NA,3.22,17.7,23.7,1.11,NA,T,T
Thamnophis couchii,UG13,NA,NA,NA,NA,NA,NA,3.64,18.2,24.6,0.966,NA,T,T
Thamnophis couchii,UG2,NA,NA,NA,NA,NA,NA,3.89,19,25.4,1.119,64.9,T,T
Thamnophis couchii,UG3,NA,NA,NA,NA,NA,NA,3.46,18.5,24.8,1.089,NA,T,T
Thamnophis couchii,UG4,NA,NA,NA,NA,NA,NA,3.72,19.5,25.9,1.066,67.7,T,T
Thamnophis couchii,UG5,NA,NA,NA,NA,NA,NA,3.7,19.1,25.6,1.111,54.2,T,T
Thamnophis couchii,UG6,NA,NA,NA,NA,NA,NA,3.23,18.5,24.5,1.092,64.5,T,T
Thamnophis couchii,UG7,NA,NA,NA,NA,NA,NA,3.05,18.3,23.6,1.234,70.6,T,T
Thamnophis couchii,UG8,NA,NA,NA,NA,NA,NA,3.52,18.2,24,1.24,61,T,T
Thamnophis couchii,UG9,NA,NA,NA,NA,NA,NA,3.76,19.3,25.9,1.045,76,T,T
Thamnophis couchii,UM1,NA,NA,NA,NA,NA,NA,4.15,19.3,25.8,1.245,112.4,T,T
Thamnophis couchii,UM10,NA,NA,NA,NA,NA,NA,4.23,20.5,27.7,1.045,86.9,T,T
Thamnophis couchii,UM11,NA,NA,NA,NA,NA,NA,4.36,20.7,28,1.051,90.8,T,T
Thamnophis couchii,UM12,NA,NA,NA,NA,NA,NA,3.98,19.6,26.7,0.979,98.8,T,T
Thamnophis couchii,UM2,NA,NA,NA,NA,NA,NA,4.66,20.6,27.4,1.113,113.4,T,T
Thamnophis couchii,UM3,NA,NA,NA,NA,NA,NA,4.39,20.3,26.8,1.121,147.4,T,T
Thamnophis couchii,UM4,NA,NA,NA,NA,NA,NA,4.24,20.4,27.6,1.227,121,T,T
Thamnophis couchii,UM5,NA,NA,NA,NA,NA,NA,3.46,19.5,26.2,1.234,97.1,T,T
Thamnophis couchii,UM6,NA,NA,NA,NA,NA,NA,4.04,20,26.7,0.992,83.4,T,T
Thamnophis couchii,UM7,NA,NA,NA,NA,NA,NA,4.41,20.5,27.1,0.988,84.3,T,T
Thamnophis couchii,UM8,NA,NA,NA,NA,NA,NA,4.44,20.6,27.4,1.188,107.6,T,T
Thamnophis couchii,UM9,NA,NA,NA,NA,NA,NA,4.39,20.5,27.2,1.041,100,T,T
Thamnophis couchii,VC1,EDBjr21489,Wishon,NA,Tulare,NA,NA,5.6,18.6,25.4,1.324,40.7,T,T
Thamnophis couchii,VC10,EDBjr21498,Wishon,NA,Tulare,NA,NA,4.4,18,24.7,1.415,98.6,T,T
Thamnophis couchii,VC11,EDBjr21499,Wishon,NA,Tulare,NA,NA,5.4,18.8,25.9,1.486,NA,T,T
Thamnophis couchii,VC12,EDBjr21500,Wishon,NA,Tulare,NA,NA,4.3,18.2,25.2,1.301,86,T,T
Thamnophis couchii,VC2,EDBjr21490,Wishon,NA,Tulare,NA,NA,4.8,19.3,26.4,1.531,74.5,T,T
Thamnophis couchii,VC3,EDBjr21491,Wishon,NA,Tulare,NA,NA,4.5,18.8,26,1.383,45.8,T,T
Thamnophis couchii,VC4,EDBjr21492,Wishon,NA,Tulare,NA,NA,5,19.1,25.9,1.442,NA,T,T
Thamnophis couchii,VC5,EDBjr21493,Wishon,NA,Tulare,NA,NA,4.8,18.5,25.8,1.638,NA,T,T
Thamnophis couchii,VC7,EDBjr21495,Wishon,NA,Tulare,NA,NA,4.9,18.7,25.5,1.417,74,T,T
Thamnophis couchii,VC8,EDBjr21496,Wishon,NA,Tulare,NA,NA,5.5,18.8,26,1.412,69,T,T
Thamnophis couchii,VC9,EDBjr21497,Wishon,NA,Tulare,NA,NA,4.3,18.8,25.8,1.242,63.2,T,T
Thamnophis couchii,ZA01,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.85,22.5,29.1,0.876,NA,T,T
Thamnophis couchii,ZA02,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.9,22.4,29.3,0.861,NA,T,T
Thamnophis couchii,ZA03,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.86,22.6,29.3,0.822,NA,T,T
Thamnophis couchii,ZA04,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.75,23.1,29.8,0.78,NA,T,T
Thamnophis couchii,ZA05,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.53,22.4,29.1,0.78,NA,T,T
Thamnophis couchii,ZA06,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.38,22.2,29,1,NA,T,T
Thamnophis couchii,ZA07,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.07,21.5,27.5,0.996,NA,T,T
Thamnophis couchii,ZA08,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.81,22.3,29.7,0.996,NA,T,T
Thamnophis couchii,ZB01,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.54,23.4,30.3,0.829,NA,T,T
Thamnophis couchii,ZB02,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.38,23.5,30.2,0.815,NA,T,T
Thamnophis couchii,ZB03,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.45,23.7,30.9,1.016,NA,T,T
Thamnophis couchii,ZB04,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.38,23.7,31,0.939,NA,T,T
Thamnophis couchii,ZB05,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.33,22.7,29.6,0.893,NA,T,T
Thamnophis couchii,ZB06,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.62,23.6,30.7,0.841,NA,T,T
Thamnophis couchii,ZB07,NA,Dogtown Creek,NA,El Dorado,NA,NA,4.73,22.8,30.2,0.89,NA,T,T
Thamnophis couchii,ZB08,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.7,23.5,30.8,0.752,NA,T,T
Thamnophis couchii,ZB09,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.12,23.7,31.5,0.845,NA,T,T
Thamnophis couchii,ZB10,EDBjr23311,Dogtown Creek,NA,El Dorado,NA,NA,5.57,23.8,31.1,0.929,NA,T,T
Thamnophis couchii,ZB11,EDBjr23312,Dogtown Creek,NA,El Dorado,NA,NA,5.59,23.9,30.3,0.864,NA,T,T
Thamnophis elegans,11.001,CRF 2238,near Boyington Mill Campground,sierra,Nevada,NA,subadult,15.2,35.5,NA,0.7032,NA,WT,WT
Thamnophis elegans,11.002,CRF 2239,near Boyington Mill Campground,sierra,Nevada,NA,adult,20.7,38.7,NA,0.7163,NA,WT,WT
Thamnophis elegans,11.008,CRF2258,Cold Creek,sierra,NA,NA,adult,47.2,42.1,NA,0.817,2.8,NA,NA
Thamnophis elegans,11.009,CRF 2259,NA,sierra,Nevada,NA,adult,36.5,39.3,NA,0.7669,2.7,NA,NA
Thamnophis elegans,11.015,KDW-1,Upper Blue Lk.,sierra,NA,NA,adult,28,31.6,NA,0.5879,3,NA,NA
Thamnophis elegans,13.017,CRF 2384,MuCullough Ranch,north_bay,NA,NA,subadult,9.7,NA,NA,0.6173,2.9,WT,WT
Thamnophis elegans,13.018,CRF 2385,MuCullough Ranch,north_bay,NA,NA,subadult,11.3,NA,NA,0.5679,3.1,WT,WT
Thamnophis elegans,13.019,CRF 2386,MuCullough Ranch,north_bay,NA,NA,subadult,8.6,NA,NA,0.5118,5.05,WT,WT
Thamnophis elegans,13.02,CRF 2387,MuCullough Ranch,north_bay,NA,NA,subadult,17.4,NA,NA,0.5313,3.05,WT,WT
Thamnophis elegans,13.022,CRF 2389,MuCullough Ranch,north_bay,NA,NA,adult,31.5,NA,NA,0.6817,7,WT,WT
Thamnophis elegans,13.023,CRF 2390,MuCullough Ranch,north_bay,NA,NA,subadult,14.8,NA,NA,0.9615,1,WT,WT
Thamnophis elegans,13.024,CRF 2391,MuCullough Ranch,north_bay,NA,NA,subadult,13.6,NA,NA,0.6337,3.2,WT,WT
Thamnophis elegans,13.025,CRF 2392,MuCullough Ranch,north_bay,NA,NA,adult,33.5,NA,NA,0.5767,3.2,WT,WT
Thamnophis elegans,13.026,CRF 2393,MuCullough Ranch,north_bay,NA,NA,adult,53.9,NA,NA,0.5711,3.15,WT,WT
Thamnophis elegans,16.14,CRF 2965,St Helena Creek,nor_coast,NA,NA,adult,59.2,NA,NA,0.815,0.59,NA,NA
Thamnophis elegans,16.15,CRF 2966,St Helena Creek,nor_coast,NA,NA,adult,92.1,NA,NA,0.7752,0.85,NA,NA
Thamnophis elegans,16.151,CRF 3091,Soquel,south_bay,NA,NA,adult,29.5,NA,NA,0.6301,3.28,NA,NA
Thamnophis elegans,16.157,CRF 3108,Scott Creek,south_bay,NA,NA,adult,116.6,NA,NA,0.6281,4.88,NA,NA
Thamnophis elegans,16.16,CRF 3032,Angelo,nor_coast,NA,NA,subadult,18.3,NA,NA,0.5828,2,NA,NA
Thamnophis elegans,16.17,CRF 3033,Angelo,nor_coast,NA,NA,adult,32.3,NA,NA,0.5921,2.3,NA,NA
Thamnophis elegans,16.18,CRF 3034,Willow Creek,nor_coast,NA,NA,adult,38.2,NA,NA,0.6944,2.8,NA,NA
Thamnophis elegans,16.19,CRF 3035,Willow Creek,nor_coast,NA,NA,adult,79.8,NA,NA,0.761,2.4,NA,NA
Thamnophis elegans,16.2,CRF 3036,Baechtel Creek,nor_coast,NA,NA,adult,48.3,NA,NA,0.7513,2.7,NA,NA
Thamnophis elegans,16.51,CRF 2977,Briones,south_bay,NA,NA,subadult,7.2,NA,NA,0.4634,3,NA,NA
Thamnophis elegans,16.58,CRF 2985,Gilroy,south_bay,NA,NA,adult,93,NA,NA,0.6305,15.3,NA,NA
Thamnophis elegans,4.111,EDBJR 21501,Willow Creek,north_bay,NA,F,neonate,4,18,NA,0.3404,6.8,WT,WT
Thamnophis elegans,4.112,EDBJR 21502,Willow Creek,north_bay,NA,F,subadult,9.7,28,NA,0.4978,5.3,WT,WT
Thamnophis elegans,4.113,EDBJR 21503,Molino Creek,south_bay,NA,NA,neonate,4.3,20.2,NA,0.2667,3.77,NA,NA
Thamnophis elegans,4.57a,EDBJR 21423,Willow Creek,north_bay,NA,M,adult,46.7,46.5,NA,0.6944,1.8,WT,WT
Thamnophis elegans,4.58,EDBJR 21377,Willow Creek,north_bay,NA,M,adult,72.3,53.5,NA,0.6305,1.4,WT,WT
Thamnophis elegans,4.58a,EDBJR 21424,Willow Creek,north_bay,NA,M,adult,77.6,57.1,NA,0.501,2,WT,WT
Thamnophis elegans,4.73,EDBJR 21439,Willow Creek,north_bay,NA,F,subadult,11,28.3,NA,0.4822,5,WT,WT
Thamnophis elegans,5.101,EDBJR 21622,Sebastapol,north_bay,NA,NA,subadult,13.2,28.3,NA,0.4717,4.4,WT,WT
Thamnophis elegans,5.102,EDBJR 21623,Sebastapol,north_bay,NA,NA,subadult,13.9,31.1,NA,0.5928,7.4,WT,WT
Thamnophis elegans,5.105,EDBJR 21626,Sebastapol,north_bay,NA,NA,subadult,14.5,31,NA,0.3671,9.1,NA,NA
Thamnophis elegans,5.119,EDBJR 21638,Sebastapol,north_bay,NA,NA,adult,39.4,42.5,NA,0.5168,4.3,NA,NA
Thamnophis elegans,5.12,EDBJR 21639,Sebastapol,north_bay,NA,NA,subadult,17.2,32.4,NA,0.4815,4.4,NA,NA
Thamnophis elegans,5.121,EDBJR 21640,Sebastapol,north_bay,NA,NA,adult,43.9,44.4,NA,0.5311,4.54,NA,NA
Thamnophis elegans,5.125,EDBJR 21643,Sebastapol,north_bay,NA,NA,subadult,17.6,33.8,NA,0.5136,4.71,NA,NA
Thamnophis elegans,5.126,EDBJR 21644,Sebastapol,north_bay,NA,NA,adult,49.3,48.7,NA,0.6293,4.91,NA,NA
Thamnophis elegans,5.128,EDBJR 21645,Sebastapol,north_bay,NA,NA,adult,35.2,43.8,NA,0.5089,4.67,NA,NA
Thamnophis elegans,5.13,EDBJR 21518,Molino Creek,south_bay,NA,NA,subadult,12,28.9,NA,0.5336,3.2,WT,WT
Thamnophis elegans,5.15,EDBJR 21520,Molino Creek,south_bay,NA,NA,adult,56.1,53.1,NA,0.9091,2.6,WT,WT
Thamnophis elegans,5.197,EDBJR 22064,Dogtown Creek,sierra,NA,NA,adult,32.4,46.9,NA,0.7321,2.63,NA,NA
Thamnophis elegans,5.198,EDBJR 22065,Dogtown Creek,sierra,NA,NA,adult,44.9,46.4,NA,0.8006,2.26,NA,NA
Thamnophis elegans,5.224,EDBJR 22056,Gilroy,south_bay,NA,NA,adult,61.9,51.2,NA,0.7782,6,WT,WT
Thamnophis elegans,5.236 WW,EDBJR 22319,Sebastapol,north_bay,NA,F,adult,69.7,56,NA,0.9728,4.4,WT,WT
Thamnophis elegans,5.25,EDBJR 22339,Santa Lucia,south_bay,NA,NA,adult,32.9,44.1,NA,0.8842,2.1,WT,WT
Thamnophis elegans,5.251,EDBJR 22359,Santa Lucia,south_bay,NA,NA,adult,51.3,56.2,NA,0.8636,1.8,WT,WT
Thamnophis elegans,5.257,EDBJR 22362,Santa Lucia,south_bay,NA,NA,adult,90.9,64.2,NA,1.0482,4.7,WT,WT
Thamnophis elegans,5.258,EDBJR 22343,Santa Lucia,south_bay,NA,NA,adult,45.9,47.2,NA,1.0428,4.4,WT,WT
Thamnophis elegans,5.268,EDBJR 22368,Santa Lucia,south_bay,NA,NA,adult,100.2,71.5,NA,1.1655,8.7,WT,WT
Thamnophis elegans,5.96,EDBJR 21617,Sebastapol,north_bay,NA,NA,adult,21.3,35.4,NA,0.5385,4.58,NA,NA
Thamnophis elegans,5.97,EDBJR 21618,Sebastapol,north_bay,NA,NA,subadult,15.1,30.9,NA,0.439,4.03,NA,NA
Thamnophis elegans,5.98,EDBJR 21619,Sebastapol,north_bay,NA,NA,adult,28.7,40.4,NA,0.6831,2.66,NA,NA
Thamnophis elegans,5.99,EDBJR 21620,Sebastapol,north_bay,NA,NA,adult,35,42,NA,0.6845,7.85,NA,NA
Thamnophis elegans,6.063,EDBJR 22777,Pedotti Ranch,south_bay,NA,NA,adult,60,52.7,NA,0.8921,1.05,WT,WT
Thamnophis elegans,6.066,EDBJR 22778,Pedotti Ranch,south_bay,NA,NA,adult,43.5,45.2,NA,0.7013,1.6,WT,WT
Thamnophis elegans,6.07,EDBJR 22780,Pedotti Ranch,south_bay,NA,NA,adult,59.3,52.4,NA,0.8726,2.84,NA,NA
Thamnophis elegans,6.074,EDBJR 22785,Pedotti Ranch,south_bay,NA,F,adult,118.8,56.4,NA,0.8058,1.42,NA,NA
Thamnophis elegans,6.08,EDBJR 22756,Prewitt Creek,south_bay,NA,NA,adult,61.5,54.5,NA,0.8084,1.64,WT,WT
Thamnophis elegans,6.085 (XQ),EDB jr 22359,Prewitt Creek,south_bay,NA,NA,adult,88,58.3,NA,0.8826,1.69,NA,NA
Thamnophis elegans,6.087,EDBJR 22759,Nacimiento River,south_bay,NA,NA,adult,64,56.1,NA,0.7862,2.3,WT,WT
Thamnophis elegans,6.088,EDBJR 22760,Nacimiento River,south_bay,NA,NA,adult,29.7,38.9,NA,0.6515,2.3,WT,WT
Thamnophis elegans,6.135,EDBJR 23316,Leoni Meadow,sierra,NA,NA,adult,48,49,NA,0.7305,15.7,NA,NA
Thamnophis elegans,6.184,EDBJR 22869,Mud Lk.,sierra,NA,NA,adult,28.9,45.4,NA,0.7622,1.98,NA,NA
Thamnophis elegans,6.185,EDBJR 22870,Mud Lk.,sierra,NA,NA,adult,27.9,45.2,NA,0.9606,2.5,NA,NA
Thamnophis elegans,6.188,EDBJR 22873,Mud Lk.,sierra,NA,NA,subadult,6.1,25.5,NA,0.4796,6.8,NA,NA
Thamnophis elegans,6.189,EDBJR 22874,Mud Lk.,sierra,NA,NA,subadult,10.8,32.4,NA,0.6305,2.09,NA,NA
Thamnophis elegans,6.19,EDBJR 22875,Mud Lk.,sierra,NA,NA,adult,36.6,47.6,NA,0.9107,1.95,NA,NA
Thamnophis elegans,6.191,EDBJR 22876,Mud Lk.,sierra,NA,NA,adult,27.9,45.6,NA,0.7524,2.01,NA,NA
Thamnophis elegans,6.194,EDBJR 22879,Mud Lk.,sierra,NA,NA,adult,21.2,40.3,NA,0.6901,7,NA,NA
Thamnophis elegans,6.196,EDBJR 22881,Mud Lk.,sierra,NA,NA,neonate,2,19,NA,0.3472,2.15,NA,NA
Thamnophis elegans,6.197,EDBJR 22882,Mud Lk.,sierra,NA,NA,subadult,10.4,33.8,NA,0.6601,2.09,NA,NA
Thamnophis elegans,6.198,EDBJR 22883,Mud Lk.,sierra,NA,NA,subadult,8.3,29.3,NA,0.6944,2.1,NA,NA
Thamnophis elegans,6.2,EDBJR 22885,Mud Lk.,sierra,NA,NA,subadult,7.6,30.1,NA,0.6333,6.62,NA,NA
Thamnophis elegans,6.201,EDBJR 22886,Mud Lk.,sierra,NA,NA,neonate,3.1,20.7,NA,0.3887,2.1,NA,NA
Thamnophis elegans,6.202,EDBJR 22887,Mud Lk.,sierra,NA,NA,neonate,3.6,21,NA,0.3848,2.95,NA,NA
Thamnophis elegans,6.265,EDBJR 23257,Mud Lk.,sierra,NA,NA,adult,60.7,54.5,NA,0.9823,1.85,NA,NA
Thamnophis elegans,6.266,EDBJR 23258,Mud Lk.,sierra,NA,NA,adult,47,46.7,NA,1.087,1.4,NA,NA
Thamnophis elegans,CRF 2536,CRF 2536,Sonoma Mountain Preserve,north_bay,NA,F,adult,103.5,NA,NA,0.8224,8.1,NA,NA
Thamnophis elegans,YF01,EDBJR 23170,Santa Lucia,south_bay,NA,NA,neonate,2.65,17.7,NA,0.4577,3,WT,WT
Thamnophis elegans,NA,CRF 2515,Independence Lk.,sierra,NA,NA,adult,24,NA,NA,0.7559,4.3,WT,WT
Thamnophis elegans,NA,CRF 2537,Big Spring,north_bay,NA,NA,neonate,2.9,NA,NA,0.34746,8.8,WT,WT
Thamnophis elegans,NA,CRF 3641,Mendocino,nor_coast,NA,M,adult,44,NA,NA,0.629,0.997,NA,NA
