species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis atratus,16.67,CRF 3045,Castle Lk.,nor_coast,NA,NA,subadult,13.2,NA,NA,0.4805,0.7,WT,WT
Thamnophis atratus,2.21,EDBJR 21310,Tomki Creek,nor_coast,NA,NA,subadult,15.1,28.6,NA,0.3336,3.4,P,P
Thamnophis atratus,2.22,EDBJR 21318,Tomki Creek,nor_coast,NA,NA,subadult,16.5,32.4,NA,0.4671,1,P,P
Thamnophis atratus,2.23,EDBJR 21319,Tomki Creek,nor_coast,NA,NA,adult,37.5,44.4,NA,0.5283,3.8,P,P
Thamnophis atratus,2.25,EDBJR 21313,Tomki Creek,nor_coast,NA,NA,adult,48.1,44.2,NA,0.7236,1.6,P,P
Thamnophis atratus,2.27,EDBJR 21311,Tomki Creek,nor_coast,NA,NA,adult,38.7,45.6,NA,0.5928,2.7,P,P
Thamnophis atratus,2.45,EDBJR 21329,Navarro River,nor_coast,NA,NA,adult,40.8,44.3,NA,0.5244,3.85,P,P
Thamnophis atratus,2.46,EDBJR 21323,Navarro River,nor_coast,NA,NA,adult,34.4,43.3,NA,0.639,0.85,P,P
Thamnophis atratus,2.47,EDBJR 21324,Navarro River,nor_coast,NA,NA,adult,20.1,35.8,NA,0.5045,1,P,P
Thamnophis atratus,4.03,EDBJR 21380,Santa Lucia,south_bay,NA,NA,adult,21.8,37.2,NA,0.5797,6.5,WT,N
Thamnophis atratus,4.1,EDBJR 21387,Santa Lucia,south_bay,NA,NA,adult,46.5,49.8,NA,0.6698,9,WT,N
Thamnophis atratus,4.109,EDBJR 21486,Molino Creek,south_bay,NA,F,adult,60.4,54,NA,0.7047,250,EPN,EPN
Thamnophis atratus,4.26,EDBJR 21356,Riverdwood River,nor_coast,NA,M,subadult,17.3,35.2,NA,0.6468,2.6,P,P
Thamnophis atratus,4.28,EDBJR 21357,Riverdwood River,nor_coast,NA,M,adult,32.3,38.7,NA,0.5862,3.2,P,P
Thamnophis atratus,4.3,EDBJR 21358,Riverdwood River,nor_coast,NA,F,subadult,9.4,29.7,NA,0.5376,5,P,P
Thamnophis atratus,4.46,EDBJR 21373,Yager Creek,nor_coast,NA,F,subadult,7.8,27.3,NA,0.4209,3.7,P,P
Thamnophis atratus,4.47,EDBJR 21374,Yager Creek,nor_coast,NA,M,subadult,11.3,32.4,NA,0.5787,3.6,P,P
Thamnophis atratus,4.48,EDBJR 21375,Yager Creek,nor_coast,NA,F,adult,26.9,35.5,NA,0.5637,4,P,P
Thamnophis atratus,4.57,EDBJR 21376,Willow Creek,north_bay,NA,M,adult,41,41.6,NA,0.6017,5.7,P,P
Thamnophis atratus,5.112,EDBJR 21634,Riverdwood Creek,nor_coast,NA,NA,adult,20.7,38.1,NA,0.5394,3.5,P,P
Thamnophis atratus,5.113,EDBJR 21635,Riverdwood Creek,nor_coast,NA,NA,subadult,18.5,37.4,NA,0.5695,3.2,P,P
Thamnophis atratus,5.115,EDBJR 21636,Riverdwood Creek,nor_coast,NA,NA,neonate,4.6,21.4,NA,0.4792,3.4,P,P
Thamnophis atratus,5.19,EDBJR 21650,Molino Creek,south_bay,NA,NA,adult,52.4,47.7,NA,0.878,250,EPN,EPN
Thamnophis atratus,5.2,EDBJR 21651,Molino Creek,south_bay,NA,NA,adult,47.2,45.1,NA,0.6803,250,EPN,EPN
Thamnophis atratus,5.208,EDBJR 22040,Bald Hills,north_bay,NA,NA,adult,32.1,42.1,NA,0.6854,14,P,P
Thamnophis atratus,5.209,EDBJR 22041,Bald Hills,north_bay,NA,NA,adult,21.4,38.6,NA,0.6072,4.7,P,P
Thamnophis atratus,5.21,EDBJR 21652,Molino Creek,south_bay,NA,NA,subadult,6.1,23,NA,0.4653,250,EPN,EPN
Thamnophis atratus,5.21,EDBJR 22042,Bald Hills,north_bay,NA,NA,subadult,13.9,32.2,NA,0.597,8.1,P,P
Thamnophis atratus,5.211,EDBJR 22043,Bald Hills,north_bay,NA,NA,adult,46.2,46.2,NA,0.7413,4.2,P,P
Thamnophis atratus,5.212,EDBJR 22044,Bald Hills,north_bay,NA,NA,adult,37.3,45.5,NA,0.6169,17,P,P
Thamnophis atratus,5.223,EDBJR 22055,Gilroy,south_bay,NA,NA,adult,26,37.1,NA,0.6262,5.22,P,P
Thamnophis atratus,5.226,EDBJR 22058,Coleman Valley,north_bay,NA,NA,subadult,7.3,25.1,NA,0.4963,18.5,P,P
Thamnophis atratus,5.24,EDBJR 21655,Molino Creek,south_bay,NA,NA,adult,38.2,42.2,NA,0.5754,250,EPN,EPN
Thamnophis atratus,5.253,EDBJR 22361,Santa Lucia,south_bay,NA,NA,adult,67.5,48.5,NA,1.0091,39,EPN,EP
Thamnophis atratus,5.26,EDBJR 22344,Santa Lucia,south_bay,NA,NA,adult,31.7,42.2,NA,0.8666,34,WT,N
Thamnophis atratus,5.262 XB,EDBJR 22363,Santa Lucia,south_bay,NA,F,adult,58.8,53.4,NA,0.9158,160,EPN,EPN
Thamnophis atratus,5.264 XF,EDBJR 22364,Santa Lucia,south_bay,NA,F,adult,59.5,55.2,NA,0.9234,44,EPN,EPN
